,IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP25,IP_PROP106,IP_PROP28,IP_PROP272,IP_PROP239,IP_PROP328,IP_PROP240,IP_PROP26,IP_PROP270,IP_PROP27,IC_GROUP0,IC_GROUP1,IC_GROUP2,City
19,14625,Салон дверей MeGa Двери,14625,Y,,,,,text,/upload/iblock/46c/hq4vux361su6vpdbs7znk6ggb0pu72zh.PNG,,text,salon-dverey-mega-dveri_6,500,,"125-й промквартал, стр. 1 (пав.23)",,14624.0,,2509,,10:00 до 17:00,79996860469,shop,"52.546275967517,103.9134122877",,,,Ангарск
20,14627,Салон дверей Вивальди,14627,Y,,,,,text,/upload/iblock/39f/cndyf20sv47p2u37ev6exe7pp6jlbwo0.PNG,,text,salon-dverey-vivaldi_3,500,,"ул. Крупской, 16 ",,14626.0,,2511,,10:00 до 17:00, 73953380980,otdel,"56.172891172384,101.61094027383",,,,Братск
21,14628,Салон дверей Вивальди,14628,Y,,,,,text,/upload/iblock/ff0/id5f83yjf41n1g8kxjb5kyzu49wv4d4m.PNG,,text,salon-dverey-vivaldi_1,500,,"пр. Индустриальный, 5А к1; СР ""Элегант""",,14626.0,,2511,,10:00 до 17:00, 73953380980,otdel,"56.139257821744,101.62717622946",,,,Братск
22,14629,Салон дверей Вивальди,14629,Y,,,,,text,/upload/iblock/cc8/chc6q4nkdazf3nmu3l833jrul91q57n0.PNG,,text,salon-dverey-vivaldi_2,500,,"пр. Стройиндустрии, 44 СР ""Элегант-Падун""",,14626.0,,2511,,10:00 до 17:00, 73953380980,otdel,"56.305493162805,101.73637401858",,,,Братск
23,14630,Салон дверей Вивальди,14630,Y,,,,,text,/upload/iblock/5bb/dfs3arqtlof7qabl1c4d1mi5644b48z7.PNG,,text,salon-dverey-vivaldi,500,,"ж/р Гидростроитель, ул. Лескова, 2 ",,14626.0,,2511,,10:00 до 17:00, 73953380980,otdel,"56.28643967296,101.88259013606",,,,Братск
24,14631,Салон дверей Вивальди ,14632,Y,,,,,text,/upload/iblock/a5f/9ejqwlvzrwqfed033hcvkf0qqfnppmmo.PNG,,text,salon-dverey-vivaldi-,500,,"Вихоревка, ТЦ Галактика, ул. Ленина, 15 ",,14631.0,,2528,,10:00 до 17:00, 73953380980,shop,"56.121537553624,101.1710466338",,,,Вихоревка
25,14633,ТГ СМИТ,14634,Y,,,,,text,/upload/iblock/6b4/yaz89t1edysdh673rwdm04wq6si05zmy.png,,text,tg-smit,500,," ул. Жердева,8а",,14633.0,,2885,,09:00 до 18:00,73012432920,salon,"51.813411907498,107.63200518294",,,,Улан-Удэ
26,14635,ТГ СМИТ,14635,Y,,,,,text,/upload/iblock/068/gv2zyg27tinxiufy8dt08n9biwnjjvar.png,,text,tg-smit_1,500,,"пр. Автомобилистов, 4в",,14633.0,,2885,,09:00 до 18:00,73012297804,shop,"51.830734559068,107.6584933147",,,,Улан-Удэ
27,14639,Салон дверей Torex Premium,14639,Y,,,,,text,,,text,salon-dverey-torex-premium,500,,"ул. Бабушкина, 4",,14636.0,,2630,,09:00 до 18:00,73022217585,shop,"52.028259644515,113.53053068726",,,,Чита
28,14636, Дом дверей Torex,14640,Y,,,,,text,/upload/iblock/861/r9vfc7fa8rz8pqx47o7o5k1trb2cjjfv.png,,text,dom-dverey-torex_1,500,,"Северный микрорайон,  37 а",,14636.0,,2630,,10:00 до 17:00,73022217585,otdel,"52.072779549209,113.48184027244",,,,Чита
29,14642,Салон дверей Три Двери,14643,Y,,,,,text,,,text,salon-dverey-tri-dveri_7,500,,"с. Бабяково, ул. Лесная, 43 ",,14642.0,,34,,09:00 до 18:00,74732622022,shop,"51.693074143489,39.379169237912",,,,село Бабяково
30,14642,Салон дверей Три Двери,14644,N,,,,,text,,,text,salon-dverey-tri-dveri_1,500,,"ул. Ленинский проспект, 114",,14642.0,,835,,,74732268885,shop,"51.669330971426,39.25149329301",,,,Воронеж
31,14646,Салон дверей Три Двери,14646,Y,,,,,text,,,text,salon-dverey-tri-dveri_6,500,,"ул. Космонавтов, 7",,14645.0,,840,,09:00 до 18:00,74736425796,shop,"51.307020901498,39.213010052753",,,,Нововоронеж
32,14648,Салон дверей Три Двери,14648,Y,,,,,text,,,text,salon-dverey-tri-dveri_5,500,,"ул. Рылеева, 83",,14647.0,,634,,09:00 до 18:00,74752510058,shop,"52.771395272011,41.414565002362",,,,Тамбов
33,14649,Салон дверей Три Двери,14649,Y,,,,,text,,,text,salon-dverey-tri-dveri_4,500,,"ул. Московская, 10е",,14647.0,,634,,09:00 до 18:00,74752715461,shop,"52.734384365353,41.482150320661",,,,Тамбов
34,14651,Салон дверей Три Двери,14651,Y,,,,,text,,,text,salon-dverey-tri-dveri_3,500,,"ул. Совхозная, 15а",,14650.0,,2023,,09:00 до 18:00,78412207507,shop,"53.23924763757,45.019692359729",,,,Пенза
35,14651,Салон дверей Три Двери,14651,Y,,,,,text,,,text,salon-dverey-tri-dveri_3,500,,"ул. Совхозная, 15а",,14650.0,,2023,,09:00 до 18:00,78412907661,shop,"53.23924763757,45.019692359729",,,,Пенза
36,14653,Салон дверей Три Двери,14653,Y,,,,,text,,,text,salon-dverey-tri-dveri,500,,"ул. Универсальный проезд, 14",,14652.0,,498,,,74742505056 ,shop,"52.612567937346,39.525716626722",,,,Липецк
37,14653,Салон дверей Три Двери,14653,Y,,,,,text,,,text,salon-dverey-tri-dveri,500,,"ул. Универсальный проезд, 14",,14652.0,,498,,,88007008781 ,shop,"52.612567937346,39.525716626722",,,,Липецк
38,14655,Салон дверей Три Двери,14655,Y,,,,,text,,,text,salon-dverey-tri-dveri_2,500,,"ул. Машиностроительная, 6",,14654.0,,524,,09:00 до 18:00,74862701960,shop,"52.919089088948,35.995391162797",,,,Орёл
39,14655,Салон дверей Три Двери,14655,Y,,,,,text,,,text,salon-dverey-tri-dveri_2,500,,"ул. Машиностроительная, 6",,14654.0,,524,,09:00 до 18:00,74862442449,shop,"52.919089088948,35.995391162797",,,,Орёл
40,14657,Салон дверей ОПТИДОР,14657,Y,,,,,text,,,text,salon-dverey-optidor,500,,"ул. 3-я Песковская, 18",,14656.0,,460,,09:00 до 18:00,74712360172,shop,"51.703318923314,36.167657687664",,,,Курск
41,14658,Салон дверей ОПТИДОР,14658,Y,,,,,text,,,text,salon-dverey-optidor_1,500,,"ул. Литовская, 10а",,14656.0,,460,,09:00 до 18:00,74712360172,shop,"51.70447884488,36.174372398332",,,,Курск
42,14659,Салон дверей Torex,14659,Y,,,,,text,/upload/iblock/960/p2pl4s51r98ji370nt592lahkoq6ybox.png,,text,salon-dverey-torex_1,500,,"ТЦ Мегастрой, ул. Вокзальная, 3",,14636.0,,2630,,09:00 до 19:00,73022312324,otdel,"52.01999608345,113.48399153767",,,,Чита
43,14660,магазин SNOVA,14660,Y,,,,,text,/upload/iblock/a8f/94zsveu26jkxy6aqe38ys2ooq2yr3x35.jpg,ТЦ ЭкоДом ,text,magazin-snova3,500,,"ул. Ленинградская, 28/2",,13441.0,,2987,,c 10:00 до 20:00,74212451100,shop,"48.486041600198,135.0917750022",,,,Хабаровск
44,14661,магазин SNOVA,14661,Y,,,,,text,/upload/iblock/112/1ocjzu4s0vcwc1gcifz5yrlexiwu21ac.jpg,ТЦ Столичный двор,text,magazin-snova2,500,,"ул. Тихоокеанская, 204 к3",,13441.0,/upload/iblock/f95/9dxlq0hdp3e3i5g0k8d0a231ahqq6a7r.PNG,2987,,с 10:00 до 20:00,74212451100,shop,"48.55397210403,135.04753593506",,,,Хабаровск
45,14662,магазин SNOVA,14662,Y,,,,,text,/upload/iblock/3cc/0wfigbc3sb1mf6c5esouf5j5r0zb30ad.jpg,ТЦ Атриум,text,magazin-snova1,500,," ул. Краснореченская, 92Б",,13441.0,,2987,,c 10:00 до 19:00,74212451100,shop,"48.427203603289,135.11183485347",,,,Хабаровск
46,14663,магазин SNOVA,14663,Y,,,,,text,/upload/iblock/744/6earajcoplrnxw2et9l9fghtjcyxi3oh.jpg,,text,magazin-snova,500,,"ул. Артемовская, 55г",,13441.0,,2987,,с 9:00 до 18:00 ,74212451100,shop,"48.372872361193,135.08743839734",,,,Хабаровск
47,14665,магазин Уют,14665,Y,,,,,text,/upload/iblock/1d4/178id57d8yjbx7t5whqiwyhtvlvds4v7.PNG,,text,magazin-uyut_3,500,,ул. Овчинникова 2,,14664.0,,3110,,10:00 до 18:30,74232333118 ,shop,"43.149474322005,131.90492098763",,,,Владивосток
48,14666,магазин Уют,14666,Y,,,,,text,/upload/iblock/983/4fa9zbt5zgymiyeu90m14z80uhtl0r6p.jpg,,text,magazin-uyut_2,500,,"ТЦ Альянс, ул. Бородинская, 46/50",,14664.0,,3110,,10:00 до 18:00,74232243635,shop,"43.167996848632,131.93483220589",,,,Владивосток
49,14668,магазин Уют,14668,Y,,,,,text,/upload/iblock/41a/39yt3llm3wak4x9flst4rf74vdtl89mk.png,,text,magazin-uyut_1,500,,"ул. Угольная, 61",,14667.0,/upload/iblock/5e3/hakp1zshvwmx9jdoexucn6rmhioliqet.png,3113,,10:00 до 18:00,74236628485,shop,"42.843839,132.945882",,,,Находка
50,14669,магазин Уют,14669,Y,,,,,text,/upload/iblock/8f9/dnk21a8v3yr5x224iljc0e1ihrtyykau.jpg,,text,magazin-uyut,500,,"ул. Уссурийский бульвар, 4",,13441.0,,2987,,10:00 до 18:30,74212218659,shop,"48.469306,135.060183",,,,Хабаровск
51,14671,магазин Барьер,14671,Y,,,,,text,/upload/iblock/cfe/gr5wvwlonkusx3dzikrl4anozc81grvh.jpg,,text,magazin-barer_2,500,,"ТЦ Мастер плюс, пр. Содружества, 23",,14670.0,,3042,,09:00 до 18:00,74152326060,shop,"53.076407598184,158.62101710456",,,,Петропавловск-Камчатский
52,14672,магазин Барьер,14672,Y,,,,,text,/upload/iblock/a7a/3bs50sbbzab5js480vxwy4lu3hdadito.jpg,,text,magazin-barer_1,500,,"ул. Тундровая, 2а",,14670.0,,3042,,09:00 до 18:00,79294562650,shop,"53.047088529043,158.66640734372",,,,Петропавловск-Камчатский
53,14674,магазин Барьер,14674,Y,,,,,text,/upload/iblock/7b4/uwshakf3zuf1nv8pfddxz2polwujgl8s.jpg,,text,magazin-barer,500,,"ТЦ Алмас, ул. Западная, 4",,14673.0,,3045,,09:00 до 18:00,79248941137,shop,"53.173599380959,158.40839981025",,,,Елизово
54,14676,магазин Строймода,14676,Y,,,,,text,/upload/iblock/446/7w8egnkvahrusrd88doqppri8tj06uvp.PNG,,text,magazin-stroymoda,500,,"ул. Ленина, 173",,14675.0,,2138,,08:00 до 19:00,74162225555,shop,"50.259388025971,127.52069645437",,,,Благовещенск
55,14677,магазин Строймастер,14677,Y,,,,,text,/upload/iblock/97e/ll9pplpao9trgc5hcan35hardgo9xbaz.PNG,,text,magazin-stroymaster,500,,"ул. Студенческая, 14",,14675.0,,2138,,08:00 до 19:00,74162995555,shop,"50.29200351004,127.50270749295",,,,Благовещенск
56,14679,магазин Оптовик,14679,N,,,,,text,,,text,magazin-optovik_1,500,,"поселок Индустриальный, ул. Осокина, 7/5",,14678.0,,46,,,79384291739,shop,"45.101633987622,39.119398478084",,,,посёлок Индустриальный
57,14688,магазин Оптовик,14688,N,,,,,text,,,text,magazin-optovik,500,,"ул. Мачуги, 56",,14678.0,,1227,,,79384291739,shop,"45.013650082468,39.080638761709",,,,Краснодар
58,14777,магазин Дверной союз,14777,Y,,,,,text,,,text,magazin-dvernoy-soyuz,500,,"ул. Петра Алексеева, 83/18а",,14695.0,,3064,,с 10:00 до 19:00,74112702603,shop,"62.045160049321,129.72065325494",,,,Якутск
59,14777,магазин Дверной союз,14777,Y,,,,,text,,,text,magazin-dvernoy-soyuz,500,,"ул. Петра Алексеева, 83/18а",,14695.0,,3064,,с 10:00 до 19:00,74112753357,shop,"62.045160049321,129.72065325494",,,,Якутск
60,14778,магазин Евро Двери,14778,Y,,,,,text,/upload/iblock/ec4/3hzep7fpd2hl7j03t3v3i9ymffc3k1td.PNG,,text,magazin-evro-dveri,500,,"ул. Кальвица, 6",,14695.0,,3064,,09:00 до 18:00,74112702410,shop,"62.049258,129.753622",,,,Якутск
61,14778,магазин Евро Двери,14778,Y,,,,,text,/upload/iblock/ec4/3hzep7fpd2hl7j03t3v3i9ymffc3k1td.PNG,,text,magazin-evro-dveri,500,,"ул. Кальвица, 6",,14695.0,,3064,,09:00 до 18:00,74112718400,shop,"62.049258,129.753622",,,,Якутск
62,14779,магазин Дом Дверей,14779,Y,,,,,text,/upload/iblock/900/mjiybqp9wr9jm2866i8jfe2m16n7gw1j.PNG,,text,magazin-dom-dverey,500,,"ул. Орджоникидзе, 49",,14695.0,,3064,,09:00 до 18:00,74112250759,shop,"62.024991471662,129.72146634034",,,,Якутск
63,14780,магазин Двери Аан,14780,Y,,,,,text,/upload/iblock/76b/s0o65mj5fakqndihjfyck3gcbws3rckb.PNG,,text,magazin-dveri-aan,500,,"ул. Петра Алексеева, 75",,14695.0,,3064,,с 10:00 до 19:00,74112725190,shop,"62.04176402846,129.72632654012",,,,Якутск
64,14781,магазин Галерея Дверей,14781,Y,,,,,text,/upload/iblock/350/dtruyw3g4w4cogdii6d4r43nokbft2rt.PNG,,text,magazin-galereya-dverey,500,,"ул. Лермонтова, 71",,14695.0,/upload/iblock/89c/zxp5wzpk6fv5zqhsfq546g4cmssjft6a.PNG,3064,,с 10:00 до 19:00,74112756333,shop,"62.031929670549,129.71214428506",,,,Якутск
65,14782,магазин Дверник,14782,Y,,,,,text,/upload/iblock/fd5/41hr1pa10bu4ktc6ln8sznbwz0gg88lz.PNG,,text,magazin-dvernik,500,,"ул. Ойунского, 8",,14695.0,,3064,,c 10:00 до 19:00,74112755959,shop,"62.026208624334,129.71270203063",,,,Якутск
66,14783,магазин Якутский Центр Дверей,14783,Y,,,,,text,,,text,magazin-yakutskiy-tsentr-dverey,500,,"ул. ​Базовый переулок, 3 к3",,14695.0,,3064,,09:00 до 18:00,74112701282,shop,"62.040936,129.653146",,,,Якутск
67,14783,магазин Якутский Центр Дверей,14783,Y,,,,,text,,,text,magazin-yakutskiy-tsentr-dverey,500,,"ул. ​Базовый переулок, 3 к3",,14695.0,,3064,,09:00 до 18:00,79142701282,shop,"62.040936,129.653146",,,,Якутск
68,14785,Европейские двери,14785,Y,,,,,text,/upload/iblock/a64/2t64omxqc7inm0jkr0f2dtmq52vgtlww.JPG,,text,evropeyskie-dveri6,500,,"ул. Кузнецкий проспект, 137 б",,14784.0,,2677,,c 08:00 до 17:00,73842452148,shop,"55.311711874817,86.031418322247",,,,Кемерово
69,14785,Европейские двери,14785,Y,,,,,text,/upload/iblock/a64/2t64omxqc7inm0jkr0f2dtmq52vgtlww.JPG,,text,evropeyskie-dveri6,500,,"ул. Кузнецкий проспект, 137 б",,14784.0,,2677,,c 08:00 до 17:00,79235673717,shop,"55.311711874817,86.031418322247",,,,Кемерово
70,14786,Европейские двери,14786,Y,,,,,text,/upload/iblock/757/yma0p64a2hiabu7q805ojbi1m8gjsljd.jpg,,text,evropeyskie-dveri5,500,,"ул. Ленина проспект, 81а",,14784.0,,2677,,с 10:00 до 19:00 ,73842351268,shop,"55.34294014049,86.120458645373",,,,Кемерово
71,14786,Европейские двери,14786,Y,,,,,text,/upload/iblock/757/yma0p64a2hiabu7q805ojbi1m8gjsljd.jpg,,text,evropeyskie-dveri5,500,,"ул. Ленина проспект, 81а",,14784.0,,2677,,с 10:00 до 19:00 ,79069299088,shop,"55.34294014049,86.120458645373",,,,Кемерово
72,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/e7e/pvcb14xz7c9p1mxv4hsd03c51781lzn6.jpg,2677,,с 9:00 до 19:00 ,73842457040,shop,"55.319696432323,86.101331571496",,,,Кемерово
73,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/e7e/pvcb14xz7c9p1mxv4hsd03c51781lzn6.jpg,2677,,с 9:00 до 19:00 ,79235277170,shop,"55.319696432323,86.101331571496",,,,Кемерово
74,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/934/mu8uj87yfgiqkqho160n2z1qnh5soing.jpg,2677,,с 9:00 до 19:00 ,73842457040,shop,"55.319696432323,86.101331571496",,,,Кемерово
75,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/934/mu8uj87yfgiqkqho160n2z1qnh5soing.jpg,2677,,с 9:00 до 19:00 ,79235277170,shop,"55.319696432323,86.101331571496",,,,Кемерово
76,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/869/7ftetz1eqbpn1l5h2eznbyyvs0g1rkp0.jpg,2677,,с 9:00 до 19:00 ,73842457040,shop,"55.319696432323,86.101331571496",,,,Кемерово
77,14787,Двери Центр,14787,Y,,,,,text,/upload/iblock/f1b/wogt9lc4mx30alof900ik8h7d0crvmj2.jpg,"ТЦ Привоз, корпус 3, ячейка 184",text,dveri-tsentr3,500,," ул. Юрия Двужильного, 9",,14784.0,/upload/iblock/869/7ftetz1eqbpn1l5h2eznbyyvs0g1rkp0.jpg,2677,,с 9:00 до 19:00 ,79235277170,shop,"55.319696432323,86.101331571496",,,,Кемерово
78,14788,Двери Центр,14788,N,,,,,text,,,text,dveri-tsentr4,500,,"ТЦ Привоз, ул. Юрия Двужильного, 7 корпус 3",,14784.0,,2677,,,79235277170,shop,"55.319056953894,86.102166898044",,,,Кемерово
79,14790,Двери Центр,14790,Y,,,,,text,/upload/iblock/f34/9yp8goyoqkxl67z9lajocfpak2vnasiu.jpg,"ТЦ Облака, отдел 108",text,dveri-tsentr2,500,,"ул. Кузнецкий проспект, 33/1",,14784.0,,2677,,c 10:00 до 20:00,79235252588,shop,"55.358415381892,86.064786719912",,,,Кемерово
80,14790,Двери Центр,14790,Y,,,,,text,/upload/iblock/f34/9yp8goyoqkxl67z9lajocfpak2vnasiu.jpg,"ТЦ Облака, отдел 108",text,dveri-tsentr2,500,,"ул. Кузнецкий проспект, 33/1",,14784.0,,2677,,c 10:00 до 20:00,73842457030,shop,"55.358415381892,86.064786719912",,,,Кемерово
81,14791,Двери Центр,14791,N,,,,,text,/upload/iblock/860/ozzvup9e91g08wbreb154pv574d2bnw2.jpg,,text,dveri-tsentr,500,," пр-т  Ленинградский, 21",,14784.0,,2677,,c 10:00 до 20:00,73842457909,shop,"55.721883732313,84.927356115413",,,,Юрга
82,14791,Двери Центр,14791,N,,,,,text,/upload/iblock/860/ozzvup9e91g08wbreb154pv574d2bnw2.jpg,,text,dveri-tsentr,500,," пр-т  Ленинградский, 21",,14784.0,,2677,,c 10:00 до 20:00,79234921111,shop,"55.721883732313,84.927356115413",,,,Юрга
83,14793,Двери России,14793,Y,,,,,text,/upload/iblock/87e/48zurm5xv4vgkxenjdeftq50l9jpxm37.jpg,,text,dveri-rossii3,500,,"ул. Вяткина, 63",,14792.0,,2927,,с 10:00 до 18:00 ,73902222693,shop,"53.732951075952,91.444326144154",,,,Абакан
84,14793,Двери России,14793,Y,,,,,text,/upload/iblock/87e/48zurm5xv4vgkxenjdeftq50l9jpxm37.jpg,,text,dveri-rossii3,500,,"ул. Вяткина, 63",,14792.0,,2927,,с 10:00 до 18:00 ,79532595932,shop,"53.732951075952,91.444326144154",,,,Абакан
85,14794,Двери России,14794,Y,,,,,text,/upload/iblock/aa1/9vxcqh9204bbzw73o1a3mkfdbg8hqauj.jpg,,text,dveri-rossii2,500,,"ул. Гагарина, 111А",,14792.0,,2927,,с 9:00 до 19:00 ,73902305095,otdel,"53.704146418687,91.408703656583",,,,Абакан
